line,total_obs,zscore_anomaly_count,iforest_v3_anomaly_count,avg_iforest_v3_score,zscore_anomaly_rate,iforest_v3_anomaly_rate
KABATAS-MAHMUTBEY,6284,72,1968,0.5897160355409887,0.011457670273711012,0.31317632081476765
HALKALI - GEBZE,88356,1931,4484,0.47801339070177684,0.021854769342206527,0.050749241704015575
KADIKOY-PENDIK,31518,467,1544,0.4881158296238903,0.014816930008249254,0.04898787994162066
IC HATLAR,18434,278,813,0.47474767119739997,0.015080828903113812,0.044103287403710535
MASLAK GAZETECILER SITESI-4.LEVENT METRO,3715,109,160,0.4779935384345489,0.029340511440107672,0.04306864064602961
MARMARA EGITIM KOY.- KUCUKYALI METRO,6365,173,268,0.47977088475886703,0.02717989002356638,0.042105263157894736
SABIHA GOKCEN HVL - SULTANBEYLI - MADENLER METRO,15139,463,598,0.4575560295030284,0.03058326177422551,0.03950062751833014
YENIKAPI - HACIOSMAN,35604,1271,1397,0.4557159151525559,0.035698236153241206,0.03923716436355466
AYDINLI TOKI-KARTAL METRO,7077,49,276,0.4878325265112598,0.006923837784371909,0.03899957609156422
ALTUNIZADE-SULTANBEYLI,18723,336,694,0.4758885307236303,0.017945842012497996,0.03706670939486193
TUZLA-TOPKAPI,8498,19,311,0.456873064159712,0.002235820192986585,0.03659684631678042
KADIKOY-YENISEHIR-DUDULLU,13604,382,461,0.45415058320775903,0.028079976477506617,0.03388709203175536
Y.KADIKOY-KARAKOY,2568,28,86,0.46667941897501625,0.010903426791277258,0.03348909657320872
KADIKOY-KAZIM KARABEKIR MAH.,15505,240,515,0.48324183750341587,0.015478877781360851,0.033215091905836824
TUZLA EMLAK KONUTLARI-TAVSANTEPE METRO,4810,119,155,0.4700326289902677,0.02474012474012474,0.032224532224532226
BASAKSEHIR 4.ETAP-KAYABASI KIPTAS KONUTLARI,9097,248,290,0.45568363855360966,0.02726173463779268,0.03187864131032209
KABATAS-BAGCILAR,42304,1007,1335,0.4611992236632491,0.023803895612708018,0.03155729954614221
UMRANIYE-USTBOSTANCI,14674,418,448,0.44779464890223863,0.02848575712143928,0.030530189450729182
KADIKOY-BEYKOZ,22385,441,682,0.4702201262951266,0.019700692427965155,0.030466830466830467
KADIKOY-S.SAHINBEY MAH,20133,435,613,0.4635215207606515,0.021606317985397108,0.03044752396562857
HAREM-PENDIK,10941,266,317,0.4522042748549915,0.02431222008957134,0.028973585595466592
CIHANGIR MAH. - AVCILAR - OTOGAR,15283,232,442,0.4686888699403094,0.015180265654648957,0.028921023359288096
ATAKENT MAHALLESI-AKSARAY,11612,321,331,0.4526120131197297,0.0276438167413021,0.028504994832931452
KADIKOY-GULENSU MAH,4927,94,139,0.4602567845642274,0.019078546783032273,0.02821189364724985
KADIKOY-BEREKET SITESI,801,9,22,0.4642191742046805,0.011235955056179775,0.02746566791510612
LEVENT-HISAR USTU,19207,526,525,0.45531717948493283,0.027385848909251834,0.027333784557713334
