line,total_obs,zscore_anomaly_count,iforest_v5_anomaly_count,avg_iforest_v5_score,zscore_anomaly_rate,iforest_v5_anomaly_rate
KADIKOY-BEREKET SITESI,783,9,22,0.4208288311874955,0.011494252873563218,0.0280970625798212
BEYLIKDUZU - CEVIZLIBAG,8066,147,225,0.4525104949851064,0.01822464666501364,0.02789486734440863
KADIKOY-YENISEHIR-DUDULLU,13583,382,370,0.41327500281818075,0.028123389531031436,0.02723993226827652
KENT ORMANI - MECIDIYEKOY,2024,34,55,0.4205050797552138,0.016798418972332016,0.02717391304347826
UCYUZLU METRO - ZEYTINBURNU,450,0,12,0.42913190423325676,0.0,0.02666666666666667
FERHATPASA-SOYAK YENISEHIR,2740,70,73,0.4222114959337653,0.025547445255474453,0.02664233576642336
SULTANBEYLI-MECIDIYEKOY,8194,13,218,0.4592987910466262,0.001586526726873322,0.02660483280449109
HACIOSMAN METRO-FERAHEVLER,421,0,11,0.4195390100207762,0.0,0.026128266033254157
KADIKOY-YENIDOGAN,26322,52,679,0.4720182274454969,0.001975533774029329,0.025795912164729123
UMRANIYE DEV.HAST-KUPLUCE-HAVUZBASI NATO YOLU,2256,43,57,0.41836955594422537,0.019060283687943262,0.02526595744680851
50.YIL MAH. - AKSARAY,1507,24,38,0.42049277696048,0.015925680159256803,0.025215660252156602
BASIBUYUK SAGLIK KAMPUSU - KUCUKYALI METRO,5273,115,132,0.4234701597646857,0.021809216764650103,0.025033187938554902
UCAKSAVAR - SISLI,362,0,9,0.42201784419971927,0.0,0.024861878453038673
YENIKAPI - HAVALIMANI,56952,1076,1366,0.4438514490860391,0.018893102963899424,0.023985110268296108
GUNESLI-AKSARAY,251,0,6,0.4254314315409442,0.0,0.02390438247011952
KADIKOY-RASATHANE-ANADOLU HISARI,9199,12,218,0.46006436975964277,0.0013044896184367866,0.02369822806826829
AVCILAR-ZINCIRLIKUYU,120788,1629,2814,0.4680880191954281,0.013486439050236778,0.023297016259893367
HABIPLER MERKEZ MAH.-YUNUS EMRE MAH.,474,5,11,0.42134959392289095,0.010548523206751054,0.023206751054852322
CAKMAK MAH.-YENIHISAR-KADIKOY,1898,35,44,0.4235789757911686,0.0184404636459431,0.023182297154899896
BASAKSEHIR 4 -1. ETAPLAR - TAKSIM,11931,47,273,0.45993453165919473,0.003939317743692901,0.022881569021875787
KUCUKCEKMECE-OLIMPIYATKOY METRO,2934,55,67,0.41843576992733855,0.01874573960463531,0.02283571915473756
ZINCIRLIKUYU-UZUNCAYIR,791,1,18,0.4352837882584049,0.0012642225031605564,0.022756005056890013
KADIKOY-KARTAL,42595,1124,958,0.4363721823703163,0.026388073717572486,0.022490902688108935
YESILKENT - AVCILAR METROBUS,7506,30,168,0.44258883162622203,0.003996802557953637,0.02238209432454037
MALTEPE UNIVERSITESI - MALTEPE METRO / KARTAL,6469,157,144,0.41307835795730896,0.024269593445663935,0.022260009275003864
HAREM-PENDIK,10941,266,243,0.41241590126967886,0.02431222008957134,0.02221003564573622
KADIKOY-CAKMAK MAH-ATASEHIR,8797,11,194,0.4555350530663418,0.0012504262816869388,0.02205297260429692
YESILTEPE-MARMARA EGITIM KOYU,2184,38,48,0.42025598873356557,0.0173992673992674,0.02197802197802198
TASDELEN-IMES-UMRANIYE-BEREKET SITESI,7289,6,160,0.4575451925698046,8.231581835642749E-4,0.021950884895047332
KADIKOY-SIFA MAHALLESI,7885,3,173,0.44800280186189384,3.804692454026633E-4,0.02194039315155358
ATESTUGLA - MECIDIYEKOY,8805,8,193,0.46155378506088046,9.085746734809767E-4,0.021919363997728564
ESENTEPE-HASEKI KAMPUS-SULTANCIFTLIGI TRAMVAY,1520,28,33,0.4146485848047473,0.018421052631578946,0.021710526315789475
TUZLA ORGANIZE SANAYI - KAFKALE TUZLA SAHIL,3336,70,72,0.4217425906833785,0.020983213429256596,0.02158273381294964
CIRCIR METRO/YILDIZTABYA - EMINONU,9827,22,211,0.45789688235649406,0.002238730029510532,0.02147145619212374
FENERTEPE PERONLAR/BASAKSEHIR - YENIBOSNA METRO,9344,242,198,0.4167674691775823,0.025898972602739725,0.021190068493150686
KADIKOY-GULENSU MAH,4918,94,104,0.41937703027892664,0.01911346075640504,0.0211468076453843
TOPKAPI - GOKTURK,14039,320,296,0.4200568540731498,0.02279364627110193,0.021084122800769284
KADIKOY-ESENEVLER,8307,49,175,0.4304407033482651,0.005898639701456603,0.02106657036234501
TASOLUK-ARNAVUTKOY-YENIKAPI,1245,18,26,0.4200817826617155,0.014457831325301205,0.020883534136546186
EMINONU-USKUDAR,8870,51,184,0.4582054084860714,0.0057497181510710255,0.020744081172491543
TUZLA-AYDINLI TOKI KONUTLARI,2222,48,46,0.41378405636273624,0.021602160216021602,0.020702070207020702
MARMARA EGITIM KOYU-KADIKOY,2186,41,45,0.4169099150699902,0.018755718206770355,0.02058554437328454
BASAKSEHIR METROKENT-EMINONU,8135,10,167,0.4472250481541996,0.001229256299938537,0.020528580208973572
FENERTEPE PERONLAR - BIRLIK MAHALLESI,1952,43,40,0.42938738396095516,0.022028688524590164,0.020491803278688523
NISANTASI UNIVERITESI - MASLAK,1319,0,27,0.43691955508199404,0.0,0.02047005307050796
KOCATAS-4 LEVENT METRO,2059,38,42,0.4106803670924056,0.018455560951918408,0.020398251578436135
YENISEHIR-PENDIK METRO,2261,44,46,0.41698185557922585,0.019460415745245468,0.020344980097302078
GOKTURK - HACIOSMAN METRO,2178,38,44,0.4194880150524283,0.017447199265381085,0.020202020202020204
TASDELEN-UMRANIYE-SANTRAL,1140,16,23,0.4268111417979736,0.014035087719298246,0.02017543859649123
KUCUKKOY-TAKSIM,2672,57,53,0.4218510948112165,0.02133233532934132,0.019835329341317365
KADIKOY-YENISAHRA-BATI ATASEHIR,807,14,16,0.41615725295458356,0.01734820322180917,0.01982651796778191
ATAKENT MAHALLESI-AKSARAY,11612,321,229,0.41380552807638815,0.0276438167413021,0.01972097829831209
SULTANBEYLI UZUNDERE - UZUNCAYIR METROBUS,9755,243,192,0.41782489235770537,0.024910302409021014,0.019682214249103023
KADIKOY-UMRANIYE TEPEUSTU,8206,8,161,0.4472911499244058,9.748964172556666E-4,0.01961979039727029
LEVENT-HISAR USTU,19194,526,374,0.4185466318605068,0.027404397207460664,0.019485255809107014
KEMERBURGAZ - CIFTALAN KOYU,411,1,8,0.426474774692786,0.0024330900243309003,0.019464720194647202
YESILPINAR-4.LEVENT-ZINCIRLIKUYU METROBUS,15450,403,300,0.4100412178227859,0.026084142394822006,0.019417475728155338
CIRCIR METRO/YILDIZTABYA - VEZNECILER,7085,4,137,0.4452412601689729,5.645730416372619E-4,0.01933662667607622
ATATURK HAVALIMANI-ISTANBUL HAVALIMANI,466,0,9,0.4528125995465231,0.0,0.019313304721030045
SAHINTEPE - AVCILAR-CIHANGIR MAH.,14611,96,281,0.44540268589232357,0.006570392170282663,0.019232085415098212
KIRAZLITEPE-ACIBADEM-KADIKOY,3074,53,59,0.41262359822115957,0.017241379310344827,0.019193233571893297
KIRAC-AVCILAR METROBUS,8674,15,166,0.4581899653046151,0.0017293059718699562,0.01913765275536085
FENERTEPE-BASAKSEHIR METROKENT,14243,307,271,0.42060309551386466,0.02155444779891877,0.019026890402302887
SABANCI UNV.-ORHANLI-KARTAL METRO,1597,31,30,0.4174052707642685,0.019411396368190358,0.01878522229179712
PARSELLER MAH-UZUNCAYIR M.BUS-KADIKOY,9685,4,178,0.4511681716827969,4.1300980898296334E-4,0.018378936499741868
CEBECI - TAKSIM,12205,41,224,0.45152965648121696,0.0033592789840229415,0.018353133961491193
ALTUNIZADE-ATASEHIR-USTBOSTANCI,1757,28,32,0.41635481058904117,0.01593625498007968,0.01821286283437678
KAZLICESME-DAVUTPASA YILDIZ UNIVERSITESI,2374,26,43,0.432835125138269,0.010951979780960405,0.018112889637742206
RIVA-YENI RIVA YOLU-KAVACIK,2432,51,44,0.41915117771892746,0.020970394736842105,0.018092105263157895
KAGITHANE - KABATAS,7703,12,139,0.4500987027740243,0.0015578346098922497,0.018044917564585226
CARSI-AKCAKOCA-ITFAIYE,1609,13,29,0.4586994742527541,0.008079552517091361,0.018023617153511497
LUNAPARK MEYDANI BUYUK TUR,447,0,8,0.48195366835886255,0.0,0.017897091722595078
GOZTEPE MAHALLESI - BEYAZIT,6773,19,120,0.4417029022849783,0.002805256164181308,0.017717407352724052
KADIKOY-ALEMDAG,10589,5,186,0.4750963219625383,4.721881197469072E-4,0.017565398054584947
BAHCEKOY-SARIYER,4004,109,70,0.4054966469265151,0.027222777222777224,0.017482517482517484
YUNUS EMRE MAHALLESI-VEZNECILER,9375,6,163,0.4662614441628496,6.4E-4,0.01738666666666667
CATALCA-AVCILAR METROBUS,8294,26,143,0.44260673178528653,0.003134796238244514,0.017241379310344827
EYUPSULTAN-VEZNECILER,6544,0,112,0.44753570518593,0.0,0.017114914425427872
YASIOREN-ARNAVUTKOY,4854,126,83,0.4242835830304416,0.02595797280593325,0.017099299546765555
TEPEUSTU-MALTEPE METRO/CEVIZLI PERONLAR,5068,106,86,0.41066128120248746,0.020915548539857932,0.01696921862667719
CEVIZLIBAG - ISTANBUL HAVALIMANI,3011,42,51,0.4402063819880643,0.013948854201262038,0.01693789438724676
BINKILIC-CATALCA,5552,100,93,0.4361350678489626,0.018011527377521614,0.0167507204610951
S.BEYLI-M.SINAN M-UZUNCAYIR METROBUS,8574,178,143,0.4120691792023481,0.020760438535106136,0.01667832983438302
HAREM-SILE,360,0,6,0.4668304329672536,0.0,0.016666666666666666
USKUDAR-CEKMEKOY,21220,181,351,0.4392393776394979,0.008529688972667294,0.01654099905749293
KADIKOY-KAYISDAGI,7689,4,127,0.4462003647636069,5.202236961893615E-4,0.016517102354012225
ATESTUGLA - BEYAZIT,7347,8,121,0.4314214524255568,0.0010888798148904315,0.016469307200217775
KARTAL-AYDINLI TOKI KONUTLARI,7296,2,120,0.43398060582294545,2.7412280701754384E-4,0.01644736842105263
AGACLI KOYU-KEMERBURGAZ,4891,116,80,0.41741837188579456,0.02371703128194643,0.01635657329789409
KOC UNV. RUMELIFENER KAMPUSU - TAKSIM,1468,8,24,0.4362865526136555,0.005449591280653951,0.01634877384196185
YENIDOGAN - KAYISDAGI,4284,86,70,0.41327478902555104,0.020074696545284782,0.016339869281045753
TUZLA-EVORA KONUTLARI -  CEVIZLI,4541,81,74,0.41684705577027314,0.017837480731116493,0.016295970050649637
DERBENT MAHALLESI- BESIKTAS,738,11,12,0.40744612362385924,0.014905149051490514,0.016260162601626018
USKUDAR-ESATPASA,2847,60,46,0.4115258664005604,0.02107481559536354,0.016157358623112048
ATAKENT MAH. - MECIDIYEKOY,4042,70,65,0.415946882144594,0.017318159327065808,0.016081147946561108
MACKA - TASKISLA,2550,22,41,0.43670689362711035,0.008627450980392156,0.01607843137254902
MIMARSINAN – I.U.AVCILAR KAMPUSU,6998,45,112,0.44291848394052313,0.006430408688196628,0.01600457273506716
SILIVRI-YENIBOSNA,7691,6,122,0.44685155272459987,7.801326225458328E-4,0.015862696658431933
MARMARA EGITIM KOY.- SITELER--MALTEPE,9277,211,147,0.4093159954856458,0.022744421688045705,0.015845639754230895
GIYIMKENT-ESENLER-ZEYTINBURNU METRO,697,6,11,0.40881114283441816,0.00860832137733142,0.015781922525107604
YENIDOGAN-SAMANDIRA-USKUDAR,5006,98,79,0.41033604747893315,0.019576508190171794,0.015781062724730323
ESENLER METRO-AKSARAY MURATPASA,1648,17,26,0.42322011585675284,0.010315533980582525,0.015776699029126214
KADIKOY-TURKIS BLOKLARI,8073,20,127,0.4431167945378801,0.0024773937817416077,0.01573145051405921
ESATPASA-ATASEHIR-YEDITEPE UNV.,9504,194,149,0.41498021257453266,0.020412457912457913,0.01567760942760943
LEVAZIM MAHALLESI-SISLI,1093,6,17,0.41281522056175746,0.0054894784995425435,0.01555352241537054
CEBECI_YENIKAPI,3286,50,51,0.41908213937523786,0.015216068167985392,0.0155203895313451
SULTAN CIFTLIGI - EMINONU,7168,5,110,0.4301690790336754,6.975446428571429E-4,0.015345982142857142
ZINCIRLIKUYU-SOGUTLUCESME,13823,232,212,0.44942987101523596,0.01678362150039789,0.015336757577949793
HURRIYET MAHALLESI - BEYAZIT,1568,20,24,0.4155266500036012,0.012755102040816327,0.015306122448979591
AYAZAGA GARAJI-4.LEVENT METRO,5815,116,89,0.41489354323082156,0.01994840928632846,0.01530524505588994
FENERTEPE PERONLAR - BASAKSEHIR - BAHCESEHIR,5101,101,78,0.4137700597789684,0.019800039207998433,0.015291119388355225
SULTANBEYLI DEV.HST.-MARMARA UNI. BASIBUYUK KAMP.,5495,129,84,0.41813646731364307,0.023475887170154686,0.015286624203821656
KADIKOY-BURHANIYE MAHALLESI,2235,44,34,0.40506412705272193,0.019686800894854587,0.015212527964205816
KAGITHANE GARAJI-YENIBOSNA METRO,3024,46,46,0.4127875355836344,0.01521164021164021,0.01521164021164021
GURPINAR– AVCILAR METROBUS,10268,86,156,0.4350635275416169,0.008375535644721465,0.015192832099727308
USKUDAR-ARKBOYU,5278,104,80,0.41041435913220997,0.019704433497536946,0.015157256536566882
