month,total_obs,zscore_anomaly_count,iforest_v3_anomaly_count,avg_iforest_v3_score,zscore_anomaly_rate,iforest_v3_anomaly_rate
1.0,543153,20512,17561,0.46950628544940537,0.03776468140652818,0.03233158980986941
2.0,510345,24477,20705,0.4759937396848326,0.047961672985921286,0.04057059440182621
3.0,522358,13144,11135,0.4587573112131815,0.025162819369091694,0.021316798058036827
4.0,391911,35,3297,0.4623194310665747,8.930599039067544E-5,0.008412624294801626
5.0,385825,61,4001,0.4627294551435119,1.5810276679841898E-4,0.01036998639279466
6.0,507709,688,1386,0.43622297312553354,0.0013551069608771953,0.002729910243860164
7.0,522905,1803,1884,0.4365969756761594,0.003448045055985313,0.0036029489104139377
8.0,528603,3187,3128,0.43939404110427116,0.006029099342985189,0.005917484388094657
9.0,533135,1686,1716,0.4361983691051523,0.003162426027178857,0.0032186969529293705
10.0,549978,1918,2492,0.4375541745371234,0.0034874122237616777,0.004531090334522472
11.0,524468,1082,2437,0.4365252313878576,0.002063042931122585,0.0046466133300792425
12.0,509477,550,2336,0.4416519572589779,0.0010795384286238633,0.0045850941259369905
