month,total_obs,anomaly_count,anomaly_rate
1,545021,20512,0.03763524708222252
2,511463,24477,0.047856834218702037
3,523411,13144,0.025112196724944642
4,392324,35,8.921197785503818e-05
5,386318,61,0.00015790100383621783
6,508235,688,0.001353704487097504
7,523634,1803,0.003443244709090701
8,529508,3187,0.006018794805744201
9,533804,1686,0.0031584626567054573
10,550711,1918,0.003482770454921002
11,525102,1082,0.0020605520451264705
12,510341,550,0.0010777107855335943
