line,total_obs,zscore_anomaly_count,iforest_anomaly_count,avg_iforest_score,zscore_anomaly_rate,iforest_anomaly_rate
KADIKOY-KURTKOY-SABIHA GOKCEN HAVA ALANI,7973,3,37,0.4269592730558212,0.0003762699109494544,0.0046406622350432
HAMIDIYE MAHALLESI - MECIDIYEKOY,8221,118,38,0.4032564586937207,0.0143534849774966,0.0046223087215667
TEPEKENT-TUYAP,433,0,2,0.4220046343978202,0.0,0.0046189376443418
USKUDAR-FINDIKLI MAHALLESI,6930,5,32,0.4182367312972293,0.0007215007215007215,0.0046176046176046
VEYSEL KARANI-METRO-CEVIZLI,6972,80,32,0.4045923495383291,0.0114744693057946,0.0045897877223178
KIPTAS VADITEPE/ISPARTAKULE-BAKIRKOY,5672,72,26,0.4027322418038556,0.0126939351198871,0.0045839210155148
YENIDOGAN PERONLAR/ ADIL MAH. - CEVIZLI,3512,44,16,0.403415226369407,0.0125284738041002,0.0045558086560364
OKAN UNIVERSITESI - PENDIK METRO / PENDIK YHT,2202,10,10,0.4060538985670921,0.0045413260672116,0.0045413260672116
SARIYER - KABATAS,6654,23,30,0.4175399238523749,0.0034565674782085,0.0045085662759242
YESILPINAR - YENIKAPI,9372,89,42,0.4065448440952377,0.0094963721724285,0.0044814340588988
USKUDAR-MUSTAFA KEMAL MAH. YENISEHIR,8964,106,40,0.405998786921379,0.0118250780901383,0.0044622936189201
ZEYTINBURNU - BEYAZIT,6067,43,27,0.4095078363081756,0.0070875226635899,0.0044503049283006
AYAZMA SITESI - MAHMUTBEY METRO,1798,4,8,0.4105912969172859,0.0022246941045606,0.0044493882091212
BAGCILAR DEV.HST./CINCINDERE CAD.-MECIDIYEKOY,4051,39,18,0.4032050659099984,0.0096272525302394,0.0044433473216489
EVREN MAHALLESI-YENIMAHALLE METRO-GUNESLI (RING),10194,84,45,0.4082318971309789,0.0082401412595644,0.0044143613890523
ESKIHISAR-TOPCULAR,15444,123,68,0.4503836314722875,0.0079642579642579,0.0044030044030044
BESIKTAS-ISTANBUL HAVALIMANI,1831,0,8,0.4300607024955137,0.0,0.0043691971600218
CAGLAYAN - EMINONU,6653,21,29,0.4118591477363513,0.0031564707650683,0.0043589358184277
GOZTEPE MAH. - BAKIRKOY,7449,82,32,0.4049591460264234,0.0110081890186602,0.0042958786414283
BASIBUYUK-SUREYYAPASA HTS.-MALTEPE,9545,110,41,0.3981365330895107,0.0115243583027763,0.0042954426401257
KAVACIK-MECIDIYEKOY,6777,23,29,0.4177918808601115,0.003393832079091,0.0042791795779843
SAHINTEPE-OLIMPIYATKOY METRO,13302,108,56,0.4093258869599192,0.0081190798376184,0.0042098932491354
RUMELI HISARUSTU - SISLI,6211,37,26,0.4043988031646712,0.0059571727580099,0.0041861213975205
KIRAZLITEPE-USKUDAR,9885,128,41,0.3976494993221999,0.0129489124936772,0.004147698533131
SARIYER-BESIKTAS,7967,78,33,0.4013378387188706,0.0097903853395255,0.0041420861051838
KURFALI-ESENKENT METRO,1705,10,7,0.4083193565125359,0.0058651026392961,0.0041055718475073
K.S.SULEYMANEGT.ARS.HST- UCYUZLU METRO,7821,41,32,0.4095560778463007,0.0052422963815368,0.0040915483953458
TASDELEN-KADIKOY,12485,157,51,0.4029317393591808,0.0125750901081297,0.0040849018822587
FLORYA-BAKIRKOY,7101,87,29,0.4070447081175442,0.0122517955217575,0.0040839318405858
GOKTURK KOYU-4. LEVENT METRO,8331,77,34,0.4054969333873335,0.0092425879246188,0.0040811427199615
GULENSU MAHALLESI - HUZUREVI METRO,5883,59,24,0.3969089119456205,0.0100288968213496,0.0040795512493625
GUNESLI-MECIDIYEKOY,11645,12,47,0.4370587857616012,0.0010304851867754,0.0040360669815371
DELIKLIKAYA-BAHCESEHIR-MAHMUTBEY METRO,5704,64,23,0.4088191008841631,0.0112201963534361,0.0040322580645161
KARADENIZ MAH. EMINONU,9445,102,38,0.4034325812817774,0.0107993647432503,0.0040232927474854
S.GOKCEN HAVA ALANI-UYDUKENT-4.LEVENT METRO,7290,15,29,0.4220967504826844,0.0020576131687242,0.0039780521262002
KAVACIK-POYRAZKOY,5800,56,23,0.4014071759350949,0.0096551724137931,0.0039655172413793
EMNIYETTEPE - EMINONU,6312,6,25,0.415957956740427,0.0009505703422053232,0.0039607097591888
DUMLUPINAR-USKUDAR,9350,100,37,0.4009569003366653,0.0106951871657754,0.0039572192513368
FENERTEPE PERONLAR/BASAKSEHIR-AVCILAR,4063,32,16,0.4033592771223148,0.0078759537287718,0.0039379768643859
BAHCEKOY-4.LEVENT METRO,4863,61,19,0.4046308521268969,0.0125436973061895,0.0039070532593049
KADIKOY-HILAL KONUTLARI,5910,63,23,0.4044038805680626,0.0106598984771573,0.0038917089678511
KAYASEHIR-MECIDIYEKOY,3860,24,15,0.4084953552677383,0.0062176165803108,0.0038860103626943
EDIRNEKAPI - BESIKTAS,8268,9,32,0.4262526771658322,0.001088534107402,0.003870343492985
HALKALI MARMARAY - SEHIR HASTANESI,7499,74,29,0.4048636055177523,0.009867982397653,0.0038671822909721
ESENYURT DEVLET HASTANESI- TUYAP,1293,9,5,0.4022096521980128,0.0069605568445475,0.0038669760247486
HILAL KONUTLARI-PENDIK METRO/YHT,5950,53,23,0.3989915739788274,0.00890756302521,0.0038655462184873
GUZELTEPE - EMINONU,6735,63,26,0.4068977761684006,0.0093541202672605,0.0038604305864884
CUMHURIYET MAHALLESI-MECIDIYEKOY,8311,86,32,0.4066088328802388,0.0103477319215497,0.0038503188545301
CAKMAK - KARTAL CEZAEVI - KADIKOY,5223,57,20,0.407529069997039,0.0109132682366456,0.0038292169251388
SARIYER - KOCATAS,5492,71,21,0.3974402249719546,0.0129278951201747,0.0038237436270939
K.S.S EGT.ARS.HST.-MECIDIYEKOY,10202,113,39,0.4099798155227725,0.0110762595569496,0.0038227798470888
KAYABASI KIPTAS-MECIDIYEKOY,16082,169,61,0.4135499891582631,0.0105086432035816,0.0037930605646063
ATAKENT MAHALLESI- TAKSIM,6864,65,26,0.4027602321026866,0.0094696969696969,0.0037878787878787
ESENKENT/BAHCESEHIR - BIRLIK MAHALLESI,528,0,2,0.4125899837901686,0.0,0.0037878787878787
TASOLUK PERONLARI-KAYASEHIR-SEFAKOY-KARTALTEPE,6369,81,24,0.4073405225373241,0.0127178520960904,0.0037682524729156
